DATE,q.in,ec.in,t.in,q.HOL,q.RFD,q.FLS,q.RFR,q.TIM,q.FLY,q.CAN,q.CON,q.HRC,q.WTP,q.out,ec.out,t.out,da.0,da.1,dc.0,dc.1,dd.0,dd.1,de.0,de.1,p,et
3/1/1999,122,NA,NA,31.32,46.47,3.16,0,28,158.03,4.1,0,15,NA,77,3.07,9.55,1.28,NA,1.05,NA,0.58,NA,1.16,NA,0,0.19
3/2/1999,116,NA,NA,41.62,47.42,0,0,26,114.68,4.2,0,13,NA,79,3.03,8.4,1.27,1.28,1,1.05,0.54,0.58,1.18,1.16,0,0.19
3/3/1999,170,NA,NA,90.51,47.19,0,0,24,110.11,4.6,0,12,NA,77,3.08,7.6,1.45,1.27,1.01,1,0.56,0.54,1.16,1.18,0,0.2
3/4/1999,176,NA,NA,118.39,45.44,0,0,49,107.5,4.8,0,12,NA,77,3.13,9.4,1.48,1.45,1.01,1.01,0.56,0.56,1.16,1.16,0,0.19
3/5/1999,176,NA,NA,111.16,45.73,0,0,131,196.15,21,0,12,NA,77,3.2,8.95,1.49,1.48,0.96,1.01,0.62,0.56,1.16,1.16,0,0.16
3/6/1999,194,NA,NA,125.32,47.5,0,0,79,164.38,35,0,11,NA,77,3.2,5.95,1.55,1.49,0.95,0.96,0.86,0.62,1.16,1.16,0,0.33
3/7/1999,202,NA,NA,142.7,47.83,0,0,55,121.59,NA,0,12,NA,87,3.03,6.75,1.59,1.55,0.95,0.95,0.92,0.86,1.23,1.16,0,0.26
3/8/1999,201,NA,NA,141.96,47.63,0,0,87,171.01,14,0,12,NA,94,2.83,9.6,1.59,1.59,0.95,0.95,1.06,0.92,1.27,1.23,0,0.16
3/9/1999,194,NA,NA,140.68,47.86,0,0,49,140.73,17,0,11,NA,117,2.67,7.1,1.58,1.59,0.94,0.95,1.59,1.06,1.4,1.27,0,0.24
3/10/1999,136,NA,NA,109.72,45.29,0,0,32,109.85,10,0,11,NA,162,2.42,8.55,1.39,1.58,0.94,0.94,1.45,1.59,1.6,1.4,0,0.21
3/11/1999,128,NA,NA,82.76,45.85,0,0,36,104.19,6.9,0,11,NA,154,2.55,6.05,1.36,1.39,0.94,0.94,1.4,1.45,1.56,1.6,0,0.12
3/12/1999,139,NA,NA,80.91,47.61,0,0,48,80.22,20,0,12,NA,153,2.63,2.5,1.41,1.36,0.93,0.94,1.46,1.4,1.56,1.56,0.16,0.09
3/13/1999,161,NA,NA,98.55,47.37,0,0,84,0,NA,1.91,15,NA,182,2.47,3.5,1.5,1.41,0.97,0.93,1.72,1.46,1.67,1.56,0,0.16
3/14/1999,177,NA,NA,115.38,50.28,0,0,104,2.52,12,17.62,16,NA,245,2.25,6.1,1.55,1.5,0.98,0.97,1.8,1.72,1.92,1.67,0,0.14
3/15/1999,188,NA,NA,0,68.43,0,0,55,176.12,16,121.26,15,NA,195,2.27,10.1,1.58,1.55,1.12,0.98,1.23,1.8,1.72,1.92,0,0.19
3/16/1999,233,NA,NA,0,72.58,0,22.47,33,243.54,6,95.97,16,NA,84,3.02,12,1.75,1.58,1.32,1.12,1,1.23,1.21,1.72,0,0.17
3/17/1999,147,NA,NA,0,70.75,0,19.82,31,264.61,5.6,64.59,14,NA,67,NA,10.8,1.47,1.75,1.26,1.32,0.93,1,1.09,1.21,0.02,0.08
3/18/1999,147,NA,NA,0,70.85,0,20.14,33,218.91,7.3,57.63,13,NA,62,NA,6.3,1.51,1.47,1.24,1.26,0.98,0.93,1.05,1.09,0.06,0.09
3/19/1999,146,NA,NA,0,70.93,0,20.33,37,215.47,9.1,64.68,14,NA,60,3.53,8.2,1.48,1.51,1.37,1.24,1.23,0.98,1.04,1.05,0,0.17
3/20/1999,117,NA,NA,38.47,70.85,0,20.33,30,183.01,8.3,75.35,15,NA,76,3.23,10.05,1.38,1.48,1.35,1.37,1.62,1.23,1.16,1.04,0,0.34
3/21/1999,99,NA,NA,56.07,70.89,0,20.33,29,190.21,4.5,77.26,15,NA,108,2.46,12,1.33,1.38,1.21,1.35,1.26,1.62,1.35,1.16,0,0.2
3/22/1999,89,NA,NA,0,70.86,0,20.33,28,201.83,4.6,70.71,18,NA,71,3.37,13.35,1.24,1.33,1.27,1.21,1.06,1.26,1.12,1.35,0,0.25
3/23/1999,69,NA,NA,0,70.79,0,20.33,26,202.32,3.9,66.09,15,NA,58,3.64,11.7,1.11,1.24,1.28,1.27,0.95,1.06,1.02,1.12,0.6,0.17
3/24/1999,62,NA,NA,0,70.7,0,20.33,62,224.01,4.4,66.29,17,NA,57,3.68,9.3,1.06,1.11,1.22,1.28,1.01,0.95,1.01,1.02,0,0.21
3/25/1999,53,NA,NA,0,68.88,0,20.33,48,191.85,9.5,70.27,18,NA,59,3.75,11.4,1.02,1.06,1.14,1.22,0.97,1.01,1.03,1.01,0,0.39
3/26/1999,25,NA,NA,0,65.98,0,18.22,35,159.08,3.7,63.4,16,NA,52,3.8,13.2,0.94,1.02,1.1,1.14,0.94,0.97,0.97,1.03,0,0.4
3/27/1999,57,NA,NA,0,59.13,0,13.77,45,158.3,4.9,56.96,15,NA,48,3.81,14.9,1,0.94,1.08,1.1,0.92,0.94,0.93,0.97,0,0.31
3/28/1999,71,NA,NA,0,68.24,0,18.07,52,161.38,4.4,51.72,14,NA,46,3.83,12.7,1.04,1,1.08,1.08,0.93,0.92,0.91,0.93,0,0.33
3/29/1999,98,NA,NA,0,69.78,0,20.19,45,163.78,4.8,49.59,14,NA,44,3.82,12.65,1.15,1.04,1.11,1.08,0.91,0.93,0.89,0.91,0,0.47
3/30/1999,121,NA,NA,0,70.93,0,20,45,166.07,11,48.77,15,NA,42,3.78,13.6,1.22,1.15,1.12,1.11,0.95,0.91,0.87,0.89,0,0.58
3/31/1999,73,NA,NA,0,63.93,0,19.67,46,182.68,11,52.17,14,NA,41,3.73,13.8,1,1.22,1.13,1.12,0.96,0.95,0.86,0.87,0,0.36
4/1/1999,95,NA,NA,0,79.41,0,27.27,47,158.54,17,51.92,14,NA,39,3.65,13.6,1.09,1,1.1,1.13,1,0.96,0.84,0.86,0,0.17
4/2/1999,96,NA,NA,0,72.78,0,29.69,41,160.57,14,54.88,14,NA,39,3.58,9.35,1.06,1.09,1.11,1.1,1.01,1,0.84,0.84,0.05,0.22
4/3/1999,177,NA,NA,0,83.3,0,31.06,70,193.37,19,61.94,15,NA,41,3.56,11.2,1.32,1.06,1.11,1.11,1.02,1.01,0.86,0.84,0,0.16
4/4/1999,302,NA,NA,0,83.11,0,31.06,73,238.13,19,59.51,15,NA,41,3.62,9.6,1.69,1.32,1.25,1.11,1.06,1.02,0.86,0.86,0.34,0.29
4/5/1999,312,NA,NA,0,83,0,31.04,75,362.84,23,71.01,24,NA,50,3.61,11.75,1.7,1.69,1.46,1.25,1.2,1.06,0.95,0.86,0,0.21
4/6/1999,285,NA,NA,0,82.96,0,30.76,65,346.29,21,74.78,27,NA,68,3.88,13.25,1.63,1.7,1.48,1.46,1.27,1.2,1.1,0.95,0,0.38
4/7/1999,119,NA,NA,0,77.09,0,29.52,66,374.4,13,73.15,19,NA,64,3.67,13.05,1.09,1.63,1.45,1.48,1.16,1.27,1.07,1.1,0,0.54
4/8/1999,86,NA,NA,0,57.57,0,22.99,55,274.07,16,61.85,17,NA,49,3.98,12.05,0.93,1.09,1.29,1.45,1.09,1.16,0.94,1.07,0,0.5
4/9/1999,312,NA,NA,0,78.03,0,23.23,77,256.94,19,56.82,15,NA,43,3.95,13.35,1.64,0.93,1.31,1.29,1.14,1.09,0.88,0.94,0,0.35
4/10/1999,390,NA,NA,0.41,83.21,0,30.27,83,388.64,32,56.5,14,NA,39,3.97,11.55,1.8,1.64,1.51,1.31,1.2,1.14,0.84,0.88,0,0.34
4/11/1999,577,NA,NA,0.45,82.97,0,30.3,83,474.8,19,63.91,15,NA,38,3.85,12.35,2.17,1.8,1.6,1.51,1.17,1.2,0.82,0.84,0,0.33
4/12/1999,1270,NA,NA,219.81,83,69.53,30.31,86,488.53,17,60.13,13,NA,40,3.83,14.15,2.99,2.17,1.78,1.6,1.15,1.17,0.85,0.82,0,0.21
4/13/1999,525,NA,NA,75.8,82.34,0,30.3,74,615.25,28,59.21,15,NA,38,3.64,12.8,2.06,2.99,1.68,1.78,1.18,1.15,0.82,0.85,0.03,0.31
4/14/1999,441,NA,NA,0,82.44,0,30.28,71,466.6,20,69.46,16,NA,40,3.55,9.45,1.91,2.06,1.57,1.68,1.18,1.18,0.85,0.82,0,0.25
4/15/1999,304,NA,NA,0,82.58,0,30.3,77,422.14,24,70.08,23,NA,44,4.03,8.3,1.64,1.91,1.54,1.57,1.18,1.18,0.89,0.85,0,0.24
4/16/1999,280,NA,NA,0,82.92,0,30.3,80,406.59,20,63.18,16,NA,40,3.67,7.1,1.58,1.64,1.54,1.54,1.19,1.18,0.85,0.89,0,0.24
4/17/1999,258,NA,NA,0,82.97,0,30.3,80,395.02,20,61.73,14,NA,38,3.68,10,1.53,1.58,1.52,1.54,1.22,1.19,0.82,0.85,0,0.27
4/18/1999,241,NA,NA,0,82.78,0,30.3,83,386.61,18,65.35,15,NA,39,3.59,13.25,1.5,1.53,1.5,1.52,1.21,1.22,0.84,0.82,0,0.26
4/19/1999,240,NA,NA,0,82.97,0,30.3,75,370.54,18,65.39,14,NA,40,3.55,16.15,1.49,1.5,1.45,1.5,1.2,1.21,0.85,0.84,0,0.36
4/20/1999,230,NA,NA,0,82.67,0,29.66,72,334.21,12,61.16,13,NA,38,3.6,16,1.48,1.49,1.43,1.45,1.16,1.2,0.82,0.85,0.26,0.22
4/21/1999,116,NA,NA,0,77.89,0,27.88,69,312.07,8.9,55.38,14,NA,38,3.72,14.9,1.12,1.48,1.36,1.43,NA,1.16,0.82,0.82,0.41,0.22
4/22/1999,91,NA,NA,0,64.49,0,30.26,64,244.16,12,57.66,17,NA,39,3.94,13.9,1.02,1.12,1.29,1.36,NA,NA,0.84,0.82,0.07,0.14
4/23/1999,458,NA,NA,0,83.61,0,30.3,87,261.37,27,67.62,19,NA,43,3.75,9.2,1.93,1.02,1.28,1.29,1.17,NA,0.88,0.84,0.21,0.13
4/24/1999,829,NA,NA,101.61,82.71,0,30.25,111,670.83,25,72.67,19,NA,49,3.63,8.25,2.71,1.93,1.93,1.28,1.12,1.17,0.94,0.88,0.3,0.18
4/25/1999,606,NA,NA,44.68,82.29,0,30.3,143,886.45,37,75.34,32,NA,81,NA,10.1,2.38,2.71,1.99,1.93,1.22,1.12,1.19,0.94,0,0.23
4/26/1999,402,NA,NA,0,82.07,0,30.3,158,752.03,27,76.16,29,NA,102,NA,12.45,1.98,2.38,1.83,1.99,1.13,1.22,1.32,1.19,0,0.23
4/27/1999,353,NA,NA,0,82.55,0,30.3,143,598.98,16,73.92,17,NA,77,NA,17.4,1.88,1.98,1.71,1.83,1.03,1.13,1.16,1.32,0.54,0.35
4/28/1999,328,NA,NA,0,79.29,0,35.83,128,523.64,19,70.53,15,NA,67,3.39,15.45,1.76,1.88,1.69,1.71,1.05,1.03,1.09,1.16,0.14,0.26
4/29/1999,911,NA,NA,119.93,0,0,0.88,351,1070.49,9,54.34,30,NA,94,3.12,11.45,2.58,1.76,2.26,1.69,1.66,1.05,1.27,1.09,1.7,0.25
4/30/1999,NA,NA,NA,136.64,0.9,0,8.22,639,681.22,NA,29.33,NA,NA,1150,1.87,10,NA,2.58,3.84,2.26,3.63,1.66,3.94,1.27,1.06,0.16
5/1/1999,NA,NA,NA,0,64.91,0,0,1140,432.95,NA,0.83,NA,NA,6970,0.975,9.6,NA,NA,NA,3.84,4.57,3.63,NA,3.94,0,0.26
5/2/1999,NA,NA,NA,0,116.25,0,0,1190,536.05,34,1.19,NA,NA,21700,0.843,10.5,NA,NA,NA,NA,NA,4.57,NA,NA,0,0.41
5/3/1999,NA,NA,NA,0,0,0,0,214,238.48,13,0.84,NA,NA,22600,1.02,12.25,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.24
5/4/1999,NA,NA,NA,0,0,0,0,91,71.46,9,0.67,NA,NA,11800,1.15,12.7,4.45,NA,NA,NA,NA,NA,NA,NA,0.26,0.22
5/5/1999,NA,NA,NA,0,0,0,0,60,14.81,7.3,0.66,NA,NA,6410,1.27,12.25,NA,4.45,NA,NA,NA,NA,NA,NA,0,0.24
5/6/1999,NA,NA,NA,0,0,0,0,64,7.17,7.2,0.62,NA,NA,4750,1.32,12.35,NA,NA,NA,NA,NA,NA,NA,NA,0,0.24
5/7/1999,NA,NA,NA,0,0,0,0,48,42.61,6.5,0.51,63,NA,3810,1.36,14.25,NA,NA,NA,NA,4.07,NA,NA,NA,0,0.3
5/8/1999,NA,NA,NA,0,0,0,0,40,309.74,8.6,0.52,49,NA,2920,1.4,16.5,3.93,NA,NA,NA,3.37,4.07,NA,NA,0,0.47
5/9/1999,NA,NA,NA,0,0,0,0,38,576.41,8.1,19.43,42,NA,2330,NA,18.15,4.17,3.93,NA,NA,3.28,3.37,4.84,NA,0,0.39
5/10/1999,NA,NA,NA,0,51.98,0,0,38,658.24,6.9,51.93,40,NA,2350,NA,18.55,4.42,4.17,NA,NA,3.24,3.28,4.85,4.84,0.1,0.23
5/11/1999,NA,NA,NA,0,93.41,0,52.7,76,878.64,5.9,52.91,39,NA,2480,NA,16.45,4.65,4.42,NA,NA,3.71,3.24,4.92,4.85,0,0.24
5/12/1999,NA,NA,NA,0,93.45,0,53.5,103,1042.46,7.9,53.33,39,NA,2710,1.2,14.55,4.46,4.65,3.6,NA,3.83,3.71,NA,4.92,0,0.46
5/13/1999,NA,NA,NA,0,93.73,0,53.46,111,1056.35,44,52.34,39,NA,2520,1.24,15.95,NA,4.46,3.4,3.6,3.37,3.83,4.94,NA,0,0.47
5/14/1999,NA,NA,NA,0,93.36,0,53.23,136,1045.85,27,51.32,36,NA,2420,1.27,17.3,2.84,NA,3.23,3.4,3.24,3.37,4.89,4.94,0,0.38
5/15/1999,2780,NA,NA,0,94.23,0,53.6,91,1039.61,28,67.9,35,NA,2120,1.34,17.9,3.93,2.84,3.1,3.23,2.71,3.24,4.73,4.89,0,0.36
5/16/1999,2750,NA,NA,0,93.36,0,52.77,55,1039.05,38,65.12,34,NA,1970,1.37,18.05,3.95,3.93,3.01,3.1,3.78,2.71,4.64,4.73,0,0.28
5/17/1999,2570,NA,NA,0,93.77,0,52.57,60,949.14,32,61.73,38,NA,2160,1.33,16.95,3.86,3.95,3,3.01,3.68,3.78,4.75,4.64,0,0.42
5/18/1999,2350,NA,NA,0,93.68,0,52.64,61,1072.12,39,61.35,38,NA,2020,1.36,17.3,3.71,3.86,2.86,3,2.52,3.68,4.67,4.75,0,0.62
5/19/1999,2140,NA,NA,167.72,93.57,0,52.79,69,1111.84,32,17.17,36,NA,1730,1.42,18.05,3.53,3.71,2.62,2.86,2.19,2.52,4.49,4.67,0.01,0.43
5/20/1999,1790,NA,NA,225.01,93.4,0,52.87,77,1130.38,19,78.34,44,NA,1250,1.59,17.35,3.21,3.53,2.36,2.62,1.75,2.19,4.1,4.49,0,0.44
5/21/1999,1510,NA,NA,225.01,93.41,0,52.79,76,1120.23,13,78.9,NA,NA,854,1.89,19.05,2.88,3.21,2.06,2.36,1.66,1.75,3.4,4.1,0,0.37
5/22/1999,1430,NA,NA,233.62,28.4,0,16.34,62,1059.14,10,77.21,60,NA,524,2.14,20.35,2.73,2.88,1.93,2.06,1.66,1.66,2.71,3.4,0,0.31
5/23/1999,1550,NA,NA,277.32,23.65,0,13.84,47,1007.05,9,78.66,52,NA,446,2.08,20.15,2.86,2.73,1.89,1.93,1.66,1.66,2.51,2.71,0,0.35
5/24/1999,1710,NA,NA,276.05,94.11,0,53.13,61,1061.16,9.5,80.15,44,NA,417,2.14,20.7,3.04,2.86,1.92,1.89,1.66,1.66,2.43,2.51,0.27,0.24
5/25/1999,2070,NA,NA,250.25,94.43,0,52.76,73,1041.7,18,81.47,52,NA,512,1.97,18,3.43,3.04,2.13,1.92,1.6,1.66,2.69,2.43,0,0.31
5/26/1999,NA,NA,NA,224.91,93.27,0,52.48,82,1001.44,22,85.83,NA,NA,1240,1.52,17.35,4.39,3.43,3.1,2.13,2.72,1.6,4.08,2.69,0,0.3
5/27/1999,NA,NA,NA,197.53,98.39,0,53.26,104,1028.6,24,82.82,NA,NA,2600,1.13,17.35,4.32,4.39,3.14,3.1,3.22,2.72,4.98,4.08,0,0.28
5/28/1999,NA,NA,NA,178.73,94.07,0,52.16,119,1135.81,25,79.61,NA,NA,2690,1.11,18.75,4.57,4.32,3.86,3.14,3.74,3.22,NA,4.98,0.05,0.33
5/29/1999,NA,NA,NA,174.06,93.98,0,52.14,137,1091.26,26,79.74,63,NA,2910,1.04,19.7,4.75,4.57,3.75,3.86,4.02,3.74,NA,NA,0.03,0.26
5/30/1999,NA,NA,NA,172.93,92.91,0,51.87,146,1010.4,37,80.46,NA,NA,3190,1,19.45,4.45,4.75,3.71,3.75,3.99,4.02,NA,NA,0,0.47
5/31/1999,NA,NA,NA,181.99,95.14,0,52.74,158,1012.04,36,79.77,60,NA,2920,1.03,19.1,4.17,4.45,3.52,3.71,3.54,3.99,NA,NA,0,0.36
6/1/1999,2520,NA,NA,236.18,99.68,0,58.8,153,1063.26,22,78.97,59,NA,2640,1.08,18.35,3.86,4.17,3.09,3.52,2.94,3.54,4.99,NA,0.01,0.58
6/2/1999,2550,NA,NA,256.88,99.5,0,59.43,112,1139.57,33,82.94,57,NA,2060,1.18,19.5,3.87,3.86,3.03,3.09,2.66,2.94,4.69,4.99,0,0.54
6/3/1999,2490,NA,NA,245.82,99.3,0,59.43,129,1113.29,22,83.92,37,NA,1940,1.17,20.05,3.82,3.87,3.08,3.03,2.68,2.66,4.62,4.69,0,0.73
6/4/1999,2120,NA,NA,241.79,99.17,0,59.3,135,1164.42,17,82.46,36,NA,1780,1.2,20.1,3.43,3.82,2.94,3.08,2.46,2.68,4.52,4.62,0,0.55
6/5/1999,1800,NA,NA,240.98,99.27,0,59.38,109,1187.61,12,80.64,34,NA,1310,1.32,19,3.06,3.43,2.67,2.94,1.95,2.46,4.18,4.52,0,0.41
6/6/1999,1820,NA,NA,239.24,99.62,0,59.43,74,1195.75,16,79.85,34,NA,850,1.52,18.9,3.06,3.06,2.49,2.67,1.64,1.95,3.39,4.18,0,0.47
6/7/1999,1840,NA,NA,238.2,109.08,0,60.44,55,1193.98,13,81.18,40,NA,696,1.6,20.4,3.09,3.06,2.49,2.49,1.65,1.64,3.08,3.39,0,0.66
6/8/1999,1440,NA,NA,262.04,110.22,0,59.54,48,1165.68,11,94.81,42,NA,584,1.62,21.35,2.61,3.09,2.32,2.49,1.64,1.65,2.85,3.08,0,0.47
6/9/1999,1240,NA,NA,281.42,109,0,59.47,50,977.89,15,99.04,32,NA,343,1.86,21.3,2.31,2.61,1.89,2.32,1.24,1.64,2.23,2.85,0,0.37
6/10/1999,1130,NA,NA,307.97,111.5,0,59.79,44,975.01,11,96.11,31,NA,210,2.31,21.75,2.14,2.31,1.76,1.89,0.01,1.24,1.77,2.23,0,0.34
6/11/1999,2190,NA,NA,338.67,111.17,0,59.21,46,916.88,20,97.78,31,NA,140,NA,19.8,3.32,2.14,1.67,1.76,0,0.01,1.5,1.77,0.72,0.33
6/12/1999,NA,NA,NA,333.13,93.9,0,44.67,198,1142.38,42,108.27,50,NA,612,2.09,19.25,4.05,3.32,1.66,1.67,1.57,0,2.91,1.5,0,0.25
6/13/1999,NA,NA,NA,268.11,0,0,0,262,1104.21,31,100.27,NA,NA,2490,1.06,18.35,4.34,4.05,1.66,1.66,2.94,1.57,4.92,2.91,0.05,0.39
6/14/1999,2770,NA,NA,228.92,NA,0,0,65,1164.89,8.6,92,NA,NA,2670,1.03,19.35,4,4.34,1.66,1.66,2.29,2.94,NA,4.92,0,0.33
6/15/1999,NA,NA,NA,202.71,45.81,0,28.82,80,1154.35,15,91.39,NA,NA,2310,1.1,19.2,4.05,4,2.24,1.66,2.78,2.29,4.83,NA,0,0.18
6/16/1999,2720,NA,NA,183.86,94.44,0,58.66,70,1169.41,26,91.54,NA,NA,2360,1.13,17.75,3.94,4.05,3.18,2.24,3.2,2.78,4.86,4.83,0.01,0.39
6/17/1999,NA,NA,NA,175.14,96.71,0,59.37,64,1149.87,19,91.25,NA,NA,2140,1.13,17.95,4.05,3.94,3.1,3.18,3.24,3.2,4.74,4.86,0,0.31
6/18/1999,NA,NA,NA,167.1,100.79,0,60.84,52,1150.46,19,95.34,NA,NA,2220,1.11,19.95,4.42,4.05,3.1,3.1,3.59,3.24,4.78,4.74,0,0.33
6/19/1999,NA,NA,NA,173.55,96.82,0,59.77,63,1177.65,12,105.54,NA,NA,2570,1.04,21.35,4.38,4.42,3.1,3.1,3.96,3.59,4.96,4.78,0,0.32
6/20/1999,NA,NA,NA,177.32,106.86,0,61.06,57,1199.78,17,111.96,60,NA,2410,1.05,22.15,4.1,4.38,3.1,3.1,3.51,3.96,4.88,4.96,0,0.33
6/21/1999,NA,NA,NA,200.1,111.36,0,59.93,61,1198.62,23,119.15,60,NA,1940,1.09,22.1,4.01,4.1,3.1,3.1,3.29,3.51,4.62,4.88,0,0.38
6/22/1999,NA,NA,NA,253.29,112.53,0,59.89,63,1145.96,22,117.7,51,NA,1830,1.08,22.8,4.01,4.01,3.24,3.1,3.42,3.29,4.55,4.62,0.05,0.38
6/23/1999,2610,NA,NA,269.29,113.4,1.82,60.24,56,1015.31,16,119.41,49,NA,2040,1.08,22.8,3.85,4.01,3.45,3.24,3.54,3.42,4.68,4.55,0.01,0.43
6/24/1999,2720,NA,NA,249.98,105.27,13.2,60.11,55,1105.36,16,118.58,52,NA,1860,1.08,23.55,3.93,3.85,3.55,3.45,3.42,3.54,4.57,4.68,0,0.38
6/25/1999,2640,NA,NA,239.99,112.59,0,61.41,52,1174.49,17,116.79,53,NA,1720,1.05,23.35,3.88,3.93,3.31,3.55,2.96,3.42,4.48,4.57,0,0.41
6/26/1999,NA,NA,NA,240.11,112.59,0,61.1,45,1210.2,16,118.98,42,NA,1500,1.06,23.65,4.24,3.88,3.56,3.31,3.29,2.96,4.33,4.48,0,0.48
6/27/1999,NA,NA,NA,239.68,112.6,0,60.61,51,1213.04,12,118.76,42,NA,1990,0.97,23.35,4.29,4.24,3.67,3.56,3.59,3.29,4.65,4.33,0,0.45
6/28/1999,2670,NA,NA,242.43,112.39,0,60.37,53,1229.86,14,118.86,39,NA,2190,0.936,23.2,3.97,4.29,3.62,3.67,3.75,3.59,4.76,4.65,0,0.4
6/29/1999,2270,NA,NA,258.03,122.6,0,60.81,51,1245.61,19,115.91,36,NA,1830,1.02,22.8,3.59,3.97,3.22,3.62,2.98,3.75,4.55,4.76,0,0.35
6/30/1999,2020,NA,NA,294.14,128.94,0,61.05,55,1218.41,18,116.3,42,NA,1340,1.16,23.9,3.34,3.59,3.12,3.22,2.68,2.98,4.2,4.55,0,0.56
7/1/1999,1460,NA,NA,306.82,128.98,0,60.79,56,1160.33,22,115.23,47,NA,1010,1.25,23.95,2.69,3.34,2.95,3.12,2.09,2.68,3.69,4.2,0,0.42
7/2/1999,1240,NA,NA,296.7,117.69,0,59.1,57,1004.04,25,111.45,51,NA,583,1.59,24,2.38,2.69,2.92,2.95,1.44,2.09,2.85,3.69,0,0.64
7/3/1999,1390,NA,NA,281.91,112.63,0,59.16,49,934.69,28,116.63,52,NA,467,1.87,23.2,2.6,2.38,2.92,2.92,1.58,1.44,2.57,2.85,0,0.65
7/4/1999,1130,NA,NA,284.2,112.53,0,59.28,85,935.41,37,120.94,47,NA,500,1.71,23.75,2.26,2.6,2.92,2.92,NA,1.58,2.66,2.57,0,0.59
7/5/1999,904,NA,NA,275.52,112.57,0,59.57,104,935.57,10,119.93,42,NA,441,1.76,24.25,1.9,2.26,2.92,2.92,1.02,NA,2.5,2.66,0,0.44
7/6/1999,812,NA,NA,283.63,112.6,0,59.67,61,868.51,9,115.14,40,NA,258,2.43,24,1.75,1.9,2.52,2.92,0.41,1.02,1.96,2.5,0,0.48
7/7/1999,1010,NA,NA,294.98,112.71,0,59.72,59,872.01,17,113.44,40,NA,178,3.12,24.3,2.08,1.75,1.69,2.52,0.32,0.41,1.66,1.96,0.11,0.63
7/8/1999,1120,NA,NA,301.73,112.61,0,59.73,59,928.1,16,116.39,51,NA,173,3.37,24.65,2.24,2.08,1.82,1.69,0.63,0.32,1.64,1.66,0.02,0.23
7/9/1999,954,NA,NA,279.93,112.48,0,59.54,60,934.66,13,120.35,NA,NA,310,2.44,21,1.98,2.24,1.78,1.82,0.59,0.63,2.14,1.64,0,0.3
7/10/1999,739,NA,NA,252.48,112.44,0,59.47,65,836.07,14,117.07,NA,NA,249,2.75,22.05,1.58,1.98,1.45,1.78,0.21,0.59,1.93,2.14,0,0.37
7/11/1999,491,NA,NA,179.79,112.54,0,59.52,67,672.22,23,111.67,NA,NA,171,3.21,22.1,1.09,1.58,1.14,1.45,0.06,0.21,1.63,1.93,0,0.29
7/12/1999,439,NA,NA,154.69,112.41,0,59.27,76,611.22,22,105.65,NA,NA,151,3.48,23.7,0.96,1.09,1.21,1.14,0.05,0.06,1.55,1.63,0,0.3
7/13/1999,457,NA,NA,154.33,112.79,0,59.43,54,697.46,22,102.99,59,NA,137,NA,NA,0.95,0.96,1.34,1.21,0.12,0.05,1.49,1.55,0,0.41
7/14/1999,589,NA,NA,153.86,112.6,0,59.28,47,769.58,17,104.31,53,NA,127,3.56,24.95,1.21,0.95,1.45,1.34,0.07,0.12,1.44,1.49,0.02,0.46
7/15/1999,730,NA,NA,155.69,112.72,0,59.59,52,826.9,15,97.81,54,NA,120,3.58,25.15,1.44,1.21,1.51,1.45,0.07,0.07,1.41,1.44,2.28,0.39
7/16/1999,964,NA,NA,157.83,110.48,0.775,59.34,73,886.89,14,95.51,47,NA,121,3.42,23.3,1.8,1.44,1.7,1.51,0.16,0.07,1.42,1.41,0,0
7/17/1999,2620,NA,NA,126.41,15.3,3.93,30.86,926,1063.67,NA,120.02,NA,NA,854,2.61,23.55,3.7,1.8,3.64,1.7,3.88,0.16,3.4,1.42,0,0
7/18/1999,2250,NA,NA,100.37,0,0,0,468,1195.23,36,113.02,NA,NA,3190,0.975,23.85,3.46,3.7,3.39,3.64,3.87,3.88,NA,3.4,0,0
7/19/1999,1910,NA,NA,34.32,0,0,0,135,1226.97,13,107.19,64,NA,1780,NA,25.2,3.22,3.46,2.8,3.39,2.49,3.87,4.52,NA,0,0
7/20/1999,1480,NA,NA,0,0,0,0,73,1205.2,9.9,110.08,62,NA,966,NA,25.4,2.5,3.22,2.48,2.8,1.82,2.49,3.61,4.52,0,0
7/21/1999,1390,NA,NA,0,0,0,0,96,1184.4,14,106.17,46,NA,568,1.66,25.75,2.37,2.5,2.39,2.48,1.5,1.82,2.82,3.61,0,0
7/22/1999,1490,NA,NA,0,0,0,0,57,1196.4,14,104.78,41,NA,478,1.81,26.2,2.49,2.37,2.45,2.39,1.45,1.5,2.59,2.82,0,0
7/23/1999,1210,NA,NA,0,0,0,0,41,1188.55,12,107.72,41,NA,443,1.8,27,2.14,2.49,2.46,2.45,1.53,1.45,2.5,2.59,0,0
7/24/1999,736,NA,NA,0,44.15,0,28.51,49,1041.1,9.6,110.78,37,NA,397,1.83,26.8,1.66,2.14,2.02,2.46,0.94,1.53,2.38,2.5,0,0
7/25/1999,510,NA,NA,111.8,94.82,0,60.16,78,826.61,27,107.89,36,NA,234,2.55,25.95,NA,1.66,1.62,2.02,0.64,0.94,1.87,2.38,0,0
7/26/1999,465,NA,NA,56.71,95.12,0,60.33,55,644.56,19,115.14,38,NA,171,3.09,26,0.84,NA,1.47,1.62,0.47,0.64,1.63,1.87,0,0
