"date","cse","q.in","ec.in","t.in","q.out","ec.out","t.out","q.x"
"11/20/2010",16.3,297,1.24,6.62,128,1.88,7.4,5.69
"3/9/2011",19.5,36.8,1.44,7.35,158,1.59,6.1,4.41
"5/20/2011",14,433,0.736,16.4,30,2.62,17.7,12.2
"7/11/2011",9.65,1860,0.402,21.9,526,0.791,24.9,21.8
