locate,point,date,cse,q.in,ec.in,t.in,q.out,ec.out,t.out,di,q.x
WTP,WTP,10/5/2010,20,3.454655284,1.36,17.3,1.41584233,2.72,18.65,NA,0.100769064
WTP,WTP,11/2/2010,16,4.190893295,NA,9.86,0.991089631,2.7,11.65,NA,0.061337691
WTP,WTP,12/7/2010,17,8.693271903,1.26,4.83,3.426338437,2.34,5.1,NA,0.074481482
WTP,WTP,1/4/2011,15,10.33564901,1.26,0.123,3.369704744,NA,1.3,NA,0.059147059
WTP,WTP,2/1/2011,16,1.302574943,1.71,NA,2.265347727,2.44,0.6,NA,0.056518301
WTP,WTP,3/1/2011,17,1.189307557,1.53,7.97,2.746734119,2.16,8.4,NA,0.060899565
WTP,WTP,4/5/2011,15,3.341387898,1.09,13,0.707921165,2.87,13.15,NA,0.066157081
WTP,WTP,5/3/2011,23,7.4756475,0.981,13.5,0.906139091,2.64,14.15,NA,0.084996515
WTP,WTP,6/7/2011,20,40.49309062,0.561,18.5,15.82911724,0.933,21.9,NA,0.116103486
WTP,WTP,7/12/2011,18,52.10299773,NA,21.6,12.43109565,0.836,25.35,NA,0.118294118
WTP,WTP,8/2/2011,17,15.60258247,NA,24.8,7.362380113,1.32,25.6,NA,0.11084597
WTP,WTP,9/6/2011,21,13.90357168,0.777,20.5,1.868911875,1.93,17.85,NA,0.104274075
WTP,WTP,10/4/2011,22,6.711092642,1.21,17.7,2.916635199,1.84,18.3,NA,0.087625273
WTP,WTP,11/1/2011,14,4.445744915,1.06,10.5,1.274258097,2.23,NA,NA,0.063528323
WTP,WTP,12/6/2011,11,5.210299773,1.34,0.155,2.888318352,2.17,0.65,NA,0.056518301
HRC,HRC,11/20/2010,16.3,8.410103437,1.24,6.62,3.624556364,1.88,7.4,NA,0.161122857
HRC,HRC,3/9/2011,19.5,1.042059955,1.44,7.35,4.474061761,1.59,6.1,NA,0.124877293
HRC,HRC,5/20/2011,14,12.26119457,0.736,16.4,0.849505398,2.62,17.7,NA,0.345465528
HRC,HRC,7/11/2011,9.65,52.66933466,0.402,21.9,14.89466131,0.791,24.9,NA,0.617307256
CAN,CAN,6/20/2006,NA,21.52080341,0.524,23.9,16.90515741,0.796,24.2,NA,0.178396134
CAN,CAN,5/24/2007,7.84,65.41191562,0.669,13.5,22.54020989,0.996,16.35,NA,0.651287472
CAN,CAN,10/11/2007,10.9,4.530695454,0.995,15.1,12.14792719,1.29,14.9,NA,0.368119006
CAN,CAN,3/20/2008,12.6,12.99743258,0.935,10.3,1.274258097,2.78,11.25,NA,0.396435852
CAN,CAN,6/26/2008,8.98,43.32477528,0.456,21.4,18.2926829,0.931,24.25,NA,0.509703239
CAN,CAN,8/14/2008,19.6,15.85743409,0.559,22.5,19.53862415,1.05,23.5,NA,0.906139091
CAN,CAN,1/17/2009,14.6,4.587329148,1.5,3.56,3.454655284,2.37,4.25,NA,0.104772332
CAN,CAN,5/14/2009,10.2,28.14694551,0.692,16.1,13.39386844,1.19,17.7,NA,0.283168466
CAN,CAN,7/22/2009,9.37,18.09446497,0.728,22.1,8.353469744,1.51,24.1,NA,0.339802159
CAN,CAN,11/20/2009,13.4,10.93030278,1.25,5.77,5.663369318,NA,6.25,NA,0.167069395
CAN,CAN,3/20/2010,11,8.976440369,1.11,5.36,2.180397187,2.42,7.1,NA,0.622970625
CAN,CAN,5/16/2010,9.97,14.04515591,0.892,17.9,8.891489829,1.7,17.55,NA,0.622970625
CAN,CAN,7/20/2010,9.79,9.457826761,0.776,25.1,1.953862415,2.43,24.8,NA,0.481386392
CAN,CAN,8/12/2010,7.75,17.16000903,0.797,24.5,10.13743108,1.38,25.25,NA,0.764554858
CAN,CAN,11/21/2010,15.4,8.495053977,1.2,6.16,3.341387898,1.97,6.85,NA,0.148946613
CAN,CAN,3/9/2011,11.5,1.042059955,1.44,7.35,4.474061761,1.59,6.1,NA,0.124877293
CAN,CAN,5/20/2011,17,12.26119457,0.736,16.4,0.849505398,2.62,17.7,NA,0.345465528
CAN,CAN,7/11/2011,6.62,52.66933466,0.402,21.9,14.89466131,0.791,24.9,NA,0.617307256
