"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.1733,-0.03427,0.06152,0.05184,-1.082,6.269
"Mean",-0.1107,-0.0002821,0.1321,0.05202,0.5234,6.019
"P.975",-0.05186,0.03315,0.2077,0.0577,1.828,7.884
"SD",0.01009,0.0173,0.04257,0.008059,2.265,8.543
"Skew",-0.4824,-0.03474,0.4566,0.2628,0.09082,2.095
"Kurt",2.507,3.238,3.798,0.349,-0.3992,2.45
