"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.101,0.005183,0.1147,0.05082,0.05627,4.516
"Mean",-0.04324,0.04548,0.1886,0.05077,0.8089,4.953
"P.975",0.004586,0.08535,0.2477,0.05619,1.305,5.516
"SD",0.01084,0.02053,0.04685,0.008884,1.623,5.936
"Skew",-0.4002,-0.02503,0.3705,0.1889,0.05823,3
"Kurt",2.609,3.134,3.645,0.2588,0.0339,3.05
