"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.2108,-0.05525,0.05093,0.05765,-1.27,10.19
"Mean",-0.1736,-0.03951,0.07512,0.05503,-0.6419,9.938
"P.975",-0.1412,-0.02378,0.1029,0.05448,0.1389,9.636
"SD",0.002233,0.008036,0.02218,0.005547,1.313,4.02
"Skew",-0.06536,0.0005737,0.07107,0.03522,0.07378,3.16
"Kurt",2.867,2.998,3.147,0.06881,0.2071,3.113
