date,q.arkrocco,h.arkrocco,p.arkrocco
9/6/1999,521,2.39,NA
9/7/1999,494,2.36,NA
9/8/1999,408,2.26,NA
9/9/1999,362,2.2,NA
9/10/1999,443,2.2,NA
9/11/1999,453,2.2,NA
9/12/1999,398,2.13,NA
9/13/1999,390,2.12,NA
9/14/1999,467,2.22,NA
9/15/1999,460,2.21,NA
9/16/1999,489,2.25,NA
9/17/1999,519,2.29,NA
9/18/1999,587,2.37,NA
9/19/1999,571,2.36,NA
9/20/1999,518,2.29,NA
9/21/1999,469,2.22,NA
9/22/1999,474,2.23,NA
9/23/1999,455,2.2,NA
9/24/1999,454,2.2,NA
9/25/1999,413,2.15,NA
9/26/1999,400,2.13,NA
9/27/1999,339,2.05,NA
9/28/1999,329,2.04,NA
9/29/1999,334,2.05,NA
9/30/1999,348,2.06,NA
10/1/1999,363,2.07,NA
10/2/1999,326,2.01,NA
10/3/1999,236,1.89,NA
10/4/1999,213,1.85,NA
10/5/1999,175,1.77,NA
10/6/1999,168,1.75,NA
10/7/1999,140,1.69,NA
10/8/1999,130,1.67,NA
10/9/1999,112,1.62,NA
10/10/1999,149,1.71,NA
10/11/1999,178,1.78,NA
10/12/1999,209,1.84,NA
10/13/1999,NA,NA,NA
10/14/1999,NA,NA,NA
10/15/1999,1480,2.61,NA
10/16/1999,245,1.92,NA
10/17/1999,285,1.97,NA
10/18/1999,265,1.94,NA
10/19/1999,335,2.03,NA
10/20/1999,380,2.09,NA
10/21/1999,381,2.1,NA
10/22/1999,383,2.1,NA
10/23/1999,370,2.08,NA
10/24/1999,327,2.02,NA
10/25/1999,271,1.95,NA
10/26/1999,206,1.87,NA
10/27/1999,174,1.81,NA
10/28/1999,192,1.84,NA
10/29/1999,328,2.02,NA
10/30/1999,377,2.09,NA
10/31/1999,431,2.17,NA
11/1/1999,463,2.21,NA
11/2/1999,477,2.23,NA
11/3/1999,496,2.26,NA
11/4/1999,477,2.23,NA
11/5/1999,481,2.24,NA
11/6/1999,523,2.29,NA
11/7/1999,490,2.25,NA
11/8/1999,541,2.32,NA
11/9/1999,527,2.3,NA
11/10/1999,524,2.29,NA
11/11/1999,520,2.29,NA
11/12/1999,516,2.28,NA
11/13/1999,548,2.33,NA
11/14/1999,551,2.33,NA
11/15/1999,608,2.4,NA
11/16/1999,515,2.28,NA
11/17/1999,177,1.85,NA
11/18/1999,149,1.79,NA
11/19/1999,123,1.72,NA
11/20/1999,112,1.68,NA
11/21/1999,104,1.65,NA
11/22/1999,96.8,1.63,NA
11/23/1999,116,1.69,NA
11/24/1999,194,1.89,NA
11/25/1999,237,1.97,NA
11/26/1999,250,1.99,NA
11/27/1999,244,1.98,NA
11/28/1999,211,1.93,NA
11/29/1999,272,1.99,NA
11/30/1999,518,2.29,NA
12/1/1999,328,2.04,NA
12/2/1999,217,1.89,NA
12/3/1999,301,1.99,NA
12/4/1999,374,2.13,NA
12/5/1999,402,2.18,NA
12/6/1999,390,2.16,NA
12/7/1999,336,2.06,NA
12/8/1999,371,2.13,NA
12/9/1999,415,2.2,NA
12/10/1999,424,2.21,NA
12/11/1999,379,2.14,NA
12/12/1999,372,2.13,NA
12/13/1999,384,2.15,NA
12/14/1999,370,2.12,NA
12/15/1999,340,2.07,NA
12/16/1999,308,2.01,NA
12/17/1999,282,1.96,NA
12/18/1999,283,1.96,NA
12/19/1999,291,1.99,NA
12/20/1999,267,1.94,NA
12/21/1999,267,1.94,NA
12/22/1999,290,1.99,NA
12/23/1999,280,1.97,NA
12/24/1999,239,1.9,NA
12/25/1999,222,1.88,NA
12/26/1999,212,1.86,NA
12/27/1999,230,1.89,NA
12/28/1999,246,1.91,NA
12/29/1999,288,2,NA
12/30/1999,324,2.07,NA
12/31/1999,204,2.04,NA
1/1/2000,209,2.05,NA
1/2/2000,215,2.07,NA
1/3/2000,225,2.09,NA
1/4/2000,215,2.07,NA
1/5/2000,NA,NA,NA
1/6/2000,230,2.1,NA
1/7/2000,250,2.14,NA
1/8/2000,258,2.16,NA
1/9/2000,256,2.15,NA
1/10/2000,256,2.15,NA
1/11/2000,256,2.15,NA
1/12/2000,256,2.15,NA
1/13/2000,256,2.15,NA
1/14/2000,256,2.15,NA
1/15/2000,216,1.97,NA
1/16/2000,256,2.15,NA
1/17/2000,198,1.89,NA
1/18/2000,221,1.99,NA
1/19/2000,250,2.14,NA
1/20/2000,235,2.11,NA
1/21/2000,310,2.24,NA
1/22/2000,386,2.38,NA
1/23/2000,431,2.44,NA
1/24/2000,479,2.51,NA
1/25/2000,469,2.5,NA
1/26/2000,458,2.48,NA
1/27/2000,450,2.47,NA
1/28/2000,445,2.46,NA
1/29/2000,459,2.48,NA
1/30/2000,417,2.42,NA
1/31/2000,432,2.44,NA
2/1/2000,538,2.59,NA
2/2/2000,545,2.6,NA
2/3/2000,497,2.54,NA
2/4/2000,481,2.51,NA
2/5/2000,460,2.48,NA
2/6/2000,446,2.46,NA
2/7/2000,437,2.45,NA
2/8/2000,239,2.1,NA
2/9/2000,145,1.87,NA
2/10/2000,136,1.83,NA
2/11/2000,120,1.78,NA
2/12/2000,148,1.87,NA
2/13/2000,224,2.09,NA
2/14/2000,223,2.08,NA
2/15/2000,217,2.07,NA
2/16/2000,234,2.11,NA
2/17/2000,240,2.12,NA
2/18/2000,240,2.12,NA
2/19/2000,253,2.14,NA
2/20/2000,243,2.12,NA
2/21/2000,212,2.06,NA
2/22/2000,189,2,NA
2/23/2000,177,1.96,NA
2/24/2000,162,1.92,NA
2/25/2000,154,1.89,NA
2/26/2000,149,1.88,NA
2/27/2000,148,1.88,NA
2/28/2000,138,1.84,NA
2/29/2000,115,1.76,NA
3/1/2000,104,1.71,NA
3/2/2000,104,1.71,NA
3/3/2000,105,1.71,NA
3/4/2000,131,1.82,NA
3/5/2000,156,1.9,NA
3/6/2000,168,1.94,NA
3/7/2000,156,1.9,NA
3/8/2000,148,1.87,NA
3/9/2000,122,1.78,NA
3/10/2000,139,1.84,NA
3/11/2000,134,1.83,NA
3/12/2000,149,1.87,NA
3/13/2000,160,1.91,NA
3/14/2000,151,1.89,NA
3/15/2000,140,1.85,NA
3/16/2000,195,1.99,NA
3/17/2000,288,2.21,NA
3/18/2000,424,2.43,NA
3/19/2000,510,2.56,NA
3/20/2000,450,2.47,NA
3/21/2000,415,2.42,NA
3/22/2000,443,2.46,NA
3/23/2000,341,2.3,NA
3/24/2000,303,2.24,NA
3/25/2000,291,2.22,NA
3/26/2000,300,2.23,NA
3/27/2000,328,2.28,NA
3/28/2000,305,2.21,NA
3/29/2000,301,2.16,NA
3/30/2000,329,2.2,NA
3/31/2000,486,2.44,NA
4/1/2000,NA,NA,NA
4/2/2000,NA,NA,NA
4/3/2000,NA,NA,NA
4/4/2000,610,2.59,NA
4/5/2000,658,2.66,NA
4/6/2000,649,2.65,NA
4/7/2000,658,2.66,NA
4/8/2000,591,2.58,NA
4/9/2000,581,2.57,NA
4/10/2000,609,2.6,NA
4/11/2000,645,2.64,NA
4/12/2000,743,2.76,NA
4/13/2000,692,2.7,NA
4/14/2000,667,2.67,NA
4/15/2000,932,2.95,NA
4/16/2000,949,2.97,NA
4/17/2000,497,2.45,NA
4/18/2000,441,2.38,NA
4/19/2000,540,2.52,NA
4/20/2000,559,2.54,NA
4/21/2000,501,2.46,NA
4/22/2000,451,2.39,NA
4/23/2000,378,2.28,NA
4/24/2000,479,2.43,NA
4/25/2000,544,2.52,NA
4/26/2000,561,2.54,NA
4/27/2000,563,2.54,NA
4/28/2000,547,2.52,NA
4/29/2000,395,2.31,NA
4/30/2000,365,2.26,NA
5/1/2000,394,2.31,NA
5/2/2000,NA,NA,NA
5/3/2000,NA,NA,NA
5/4/2000,NA,NA,NA
5/5/2000,329,2.2,NA
5/6/2000,291,2.14,NA
5/7/2000,314,2.18,NA
5/8/2000,441,2.38,NA
5/9/2000,611,2.6,NA
5/10/2000,956,2.98,NA
5/11/2000,936,2.96,NA
5/12/2000,663,2.66,NA
5/13/2000,727,2.73,NA
5/14/2000,896,2.93,NA
5/15/2000,924,2.95,NA
5/16/2000,900,2.93,NA
5/17/2000,815,2.84,NA
5/18/2000,676,2.68,NA
5/19/2000,641,2.64,NA
5/20/2000,871,2.91,NA
5/21/2000,1010,3,NA
5/22/2000,747,2.79,NA
5/23/2000,549,2.56,NA
5/24/2000,499,2.49,NA
5/25/2000,496,2.49,NA
5/26/2000,668,2.7,NA
5/27/2000,797,2.82,NA
5/28/2000,1090,3.09,NA
5/29/2000,725,2.76,NA
5/30/2000,353,2.27,NA
5/31/2000,890,2.93,NA
6/1/2000,1150,3.21,NA
6/2/2000,1010,3.07,NA
6/3/2000,1390,3.45,NA
6/4/2000,1520,3.56,NA
6/5/2000,1160,3.22,NA
6/6/2000,1230,3.28,NA
6/7/2000,1120,3.1,NA
6/8/2000,838,2.79,NA
6/9/2000,593,2.51,NA
6/10/2000,701,2.64,NA
6/11/2000,695,2.64,NA
6/12/2000,681,2.62,NA
6/13/2000,662,2.6,NA
6/14/2000,531,2.43,NA
6/15/2000,174,1.85,NA
6/16/2000,577,2.41,NA
6/17/2000,560,2.47,NA
6/18/2000,576,2.49,NA
6/19/2000,567,2.48,NA
6/20/2000,694,2.63,NA
6/21/2000,623,2.55,NA
6/22/2000,540,2.44,NA
6/23/2000,436,2.41,NA
6/24/2000,419,2.43,NA
6/25/2000,491,2.52,NA
6/26/2000,543,2.6,NA
6/27/2000,527,2.58,NA
6/28/2000,569,2.63,NA
6/29/2000,547,2.6,NA
6/30/2000,360,2.32,NA
7/1/2000,213,2.05,NA
7/2/2000,169,1.94,NA
7/3/2000,130,1.81,NA
7/4/2000,122,1.78,NA
7/5/2000,138,1.83,NA
7/6/2000,352,2.29,NA
7/7/2000,523,2.57,NA
7/8/2000,527,2.58,NA
7/9/2000,453,2.47,NA
7/10/2000,388,2.38,NA
7/11/2000,472,2.5,NA
7/12/2000,455,2.48,NA
7/13/2000,546,2.6,NA
7/14/2000,357,2.33,NA
7/15/2000,277,2.19,NA
7/16/2000,400,2.4,NA
7/17/2000,543,2.59,NA
7/18/2000,655,2.72,NA
7/19/2000,1210,3.32,NA
7/20/2000,1020,3.13,NA
7/21/2000,891,3,NA
7/22/2000,535,2.59,NA
7/23/2000,408,2.41,NA
7/24/2000,296,2.23,NA
7/25/2000,269,2.17,NA
7/26/2000,242,2.12,NA
7/27/2000,225,2.08,NA
7/28/2000,273,2.15,NA
7/29/2000,380,2.32,NA
7/30/2000,496,2.5,NA
7/31/2000,636,2.67,NA
8/1/2000,586,2.61,NA
8/2/2000,436,2.41,NA
8/3/2000,335,2.25,NA
8/4/2000,267,2.13,NA
8/5/2000,393,2.34,NA
8/6/2000,417,2.38,NA
8/7/2000,458,2.44,NA
8/8/2000,567,2.59,NA
8/9/2000,680,2.73,NA
8/10/2000,523,2.53,NA
8/11/2000,445,2.42,NA
8/12/2000,347,2.27,NA
8/13/2000,413,2.38,NA
8/14/2000,356,2.28,NA
8/15/2000,288,2.21,NA
8/16/2000,388,2.39,NA
8/17/2000,408,2.42,NA
8/18/2000,477,2.52,NA
8/19/2000,793,2.9,NA
8/20/2000,634,2.72,NA
8/21/2000,494,2.54,NA
8/22/2000,461,2.5,NA
8/23/2000,410,2.42,NA
8/24/2000,446,2.47,NA
8/25/2000,401,2.41,NA
8/26/2000,406,2.42,NA
8/27/2000,NA,NA,NA
8/28/2000,NA,NA,NA
8/29/2000,NA,NA,NA
8/30/2000,NA,NA,NA
8/31/2000,NA,NA,NA
9/1/2000,NA,NA,NA
9/2/2000,NA,NA,NA
9/3/2000,NA,NA,NA
9/4/2000,NA,NA,NA
9/5/2000,NA,NA,NA
9/6/2000,NA,NA,NA
9/7/2000,205,1.77,NA
9/8/2000,258,1.88,NA
9/9/2000,274,1.91,NA
9/10/2000,275,1.92,NA
9/11/2000,274,1.91,NA
9/12/2000,309,1.98,NA
9/13/2000,295,1.95,NA
9/14/2000,224,1.81,NA
9/15/2000,178,1.7,NA
9/16/2000,238,1.84,NA
9/17/2000,280,1.93,NA
9/18/2000,257,1.88,NA
9/19/2000,251,1.87,NA
9/20/2000,230,1.83,NA
9/21/2000,226,1.82,NA
9/22/2000,237,1.84,NA
9/23/2000,244,1.86,NA
9/24/2000,240,1.85,NA
9/25/2000,230,1.83,NA
9/26/2000,208,1.78,NA
9/27/2000,157,1.77,NA
9/28/2000,153,1.81,NA
9/29/2000,168,1.86,NA
9/30/2000,161,1.84,NA
10/1/2000,190,1.92,NA
10/2/2000,205,1.96,NA
10/3/2000,183,1.9,NA
10/4/2000,150,1.8,NA
10/5/2000,149,1.8,NA
10/6/2000,154,1.82,NA
10/7/2000,162,1.84,NA
10/8/2000,161,1.84,NA
10/9/2000,156,1.82,NA
10/10/2000,156,1.82,NA
10/11/2000,156,1.82,NA
10/12/2000,143,1.78,NA
10/13/2000,127,1.72,NA
10/14/2000,123,1.71,NA
10/15/2000,118,1.69,NA
10/16/2000,107,1.64,NA
10/17/2000,92.5,1.64,NA
10/18/2000,107,1.72,NA
10/19/2000,118,1.77,NA
10/20/2000,111,1.74,NA
10/21/2000,112,1.75,NA
10/22/2000,118,1.77,NA
10/23/2000,126,1.8,NA
10/24/2000,144,1.86,NA
10/25/2000,159,1.91,NA
10/26/2000,151,1.88,NA
10/27/2000,148,1.88,NA
10/28/2000,146,1.87,NA
10/29/2000,160,1.91,NA
10/30/2000,286,2.21,NA
10/31/2000,249,2.14,NA
11/1/2000,223,2.09,NA
11/2/2000,214,2.06,NA
11/3/2000,196,2.02,NA
11/4/2000,185,1.99,NA
11/5/2000,194,2.01,NA
11/6/2000,234,2.11,NA
11/7/2000,257,2.15,NA
11/8/2000,277,2.19,NA
11/9/2000,249,2.14,NA
11/10/2000,198,2.02,NA
11/11/2000,232,2.1,NA
11/12/2000,216,2.07,NA
11/13/2000,288,2.11,NA
11/14/2000,334,2.17,NA
11/15/2000,215,1.95,NA
11/16/2000,215,1.95,NA
11/17/2000,214,1.95,NA
11/18/2000,214,1.94,NA
11/19/2000,204,1.92,NA
11/20/2000,191,1.89,NA
