agency,site,date,q.timswico,check
USGS,7121500,8/15/1999,79,A
USGS,7121500,8/16/1999,75,A
USGS,7121500,8/17/1999,65,A
USGS,7121500,8/18/1999,65,A
USGS,7121500,8/19/1999,64,A
USGS,7121500,8/20/1999,63,A
USGS,7121500,8/21/1999,64,A
USGS,7121500,8/22/1999,68,A
USGS,7121500,8/23/1999,65,A
USGS,7121500,8/24/1999,64,A
USGS,7121500,8/25/1999,62,A
USGS,7121500,8/26/1999,62,A
USGS,7121500,8/27/1999,64,A
USGS,7121500,8/28/1999,61,A
USGS,7121500,8/29/1999,59,A
USGS,7121500,8/30/1999,59,A
USGS,7121500,8/31/1999,55,A
USGS,7121500,9/1/1999,53,A
USGS,7121500,9/2/1999,52,A
USGS,7121500,9/3/1999,61,A
USGS,7121500,9/4/1999,55,A
USGS,7121500,9/5/1999,59,A
USGS,7121500,9/6/1999,59,A
USGS,7121500,9/7/1999,59,A
USGS,7121500,9/8/1999,55,A
USGS,7121500,9/9/1999,68,A
USGS,7121500,9/10/1999,63,A
USGS,7121500,9/11/1999,95,A
USGS,7121500,9/12/1999,119,A
USGS,7121500,9/13/1999,110,A
USGS,7121500,9/14/1999,112,A
USGS,7121500,9/15/1999,100,A
USGS,7121500,9/16/1999,124,A
USGS,7121500,9/17/1999,155,A
USGS,7121500,9/18/1999,154,A
USGS,7121500,9/19/1999,141,A
USGS,7121500,9/20/1999,147,A
USGS,7121500,9/21/1999,141,A
USGS,7121500,9/22/1999,122,A
USGS,7121500,9/23/1999,118,A
USGS,7121500,9/24/1999,107,A
USGS,7121500,9/25/1999,102,A
USGS,7121500,9/26/1999,106,A
USGS,7121500,9/27/1999,110,A
USGS,7121500,9/28/1999,129,A
USGS,7121500,9/29/1999,111,A
USGS,7121500,9/30/1999,77,A
USGS,7121500,10/1/1999,96,A
USGS,7121500,10/2/1999,111,A
USGS,7121500,10/3/1999,141,A
USGS,7121500,10/4/1999,156,A
USGS,7121500,10/5/1999,136,A
USGS,7121500,10/6/1999,114,A
USGS,7121500,10/7/1999,123,A
USGS,7121500,10/8/1999,125,A
USGS,7121500,10/9/1999,114,A
USGS,7121500,10/10/1999,126,A
USGS,7121500,10/11/1999,143,A
USGS,7121500,10/12/1999,121,A
USGS,7121500,10/13/1999,116,A
USGS,7121500,10/14/1999,98,A
USGS,7121500,10/15/1999,87,A
USGS,7121500,10/16/1999,119,A
USGS,7121500,10/17/1999,119,A
USGS,7121500,10/18/1999,114,A
USGS,7121500,10/19/1999,107,A
USGS,7121500,10/20/1999,117,A
USGS,7121500,10/21/1999,120,A
USGS,7121500,10/22/1999,119,A
USGS,7121500,10/23/1999,116,A
USGS,7121500,10/24/1999,108,A
USGS,7121500,10/25/1999,101,A
USGS,7121500,10/26/1999,94,A
USGS,7121500,10/27/1999,92,A
USGS,7121500,10/28/1999,89,A
USGS,7121500,10/29/1999,100,A
USGS,7121500,10/30/1999,114,A
USGS,7121500,10/31/1999,122,A
USGS,7121500,11/1/1999,119,A
USGS,7121500,11/2/1999,109,A
USGS,7121500,11/3/1999,108,A
USGS,7121500,11/4/1999,114,A
USGS,7121500,11/5/1999,103,A
USGS,7121500,11/6/1999,102,A
USGS,7121500,11/7/1999,105,A
USGS,7121500,11/8/1999,105,A
USGS,7121500,11/9/1999,98,A
USGS,7121500,11/10/1999,97,A
USGS,7121500,11/11/1999,103,A
USGS,7121500,11/12/1999,104,A
USGS,7121500,11/13/1999,103,A
USGS,7121500,11/14/1999,101,A
USGS,7121500,11/15/1999,88,A
USGS,7121500,11/16/1999,72,A
USGS,7121500,11/17/1999,65,A
USGS,7121500,11/18/1999,65,A
USGS,7121500,11/19/1999,62,A
USGS,7121500,11/20/1999,66,A
USGS,7121500,11/21/1999,62,A
USGS,7121500,11/22/1999,73,A
USGS,7121500,11/23/1999,90,A
USGS,7121500,11/24/1999,77,A
USGS,7121500,11/25/1999,43,A
USGS,7121500,11/26/1999,35,A
USGS,7121500,11/27/1999,32,A
USGS,7121500,11/28/1999,31,A
USGS,7121500,11/29/1999,30,A
USGS,7121500,11/30/1999,30,A
USGS,7121500,12/1/1999,52,A
USGS,7121500,12/2/1999,53,A
USGS,7121500,12/3/1999,54,A
USGS,7121500,12/4/1999,49,A
USGS,7121500,12/5/1999,27,A
USGS,7121500,12/6/1999,27,A
USGS,7121500,12/7/1999,27,A
USGS,7121500,12/8/1999,28,A
USGS,7121500,12/9/1999,40,A
USGS,7121500,12/10/1999,40,A
USGS,7121500,12/11/1999,40,A
USGS,7121500,12/12/1999,37,A
USGS,7121500,12/13/1999,27,A
USGS,7121500,12/14/1999,24,A
USGS,7121500,12/15/1999,24,A
USGS,7121500,12/16/1999,25,A
USGS,7121500,12/17/1999,24,A
USGS,7121500,12/18/1999,23,A
USGS,7121500,12/19/1999,23,A
USGS,7121500,12/20/1999,23,A
USGS,7121500,12/21/1999,22,A
USGS,7121500,12/22/1999,22,A
USGS,7121500,12/23/1999,22,A
USGS,7121500,12/24/1999,22,A
USGS,7121500,12/25/1999,22,A
USGS,7121500,12/26/1999,21,A
USGS,7121500,12/27/1999,21,A
USGS,7121500,12/28/1999,21,A
USGS,7121500,12/29/1999,21,A
USGS,7121500,12/30/1999,21,A
USGS,7121500,12/31/1999,21,A
USGS,7121500,1/1/2000,22,A
USGS,7121500,1/2/2000,21,A
USGS,7121500,1/3/2000,21,A
USGS,7121500,1/4/2000,21,A
USGS,7121500,1/5/2000,20,A
USGS,7121500,1/6/2000,20,A
USGS,7121500,1/7/2000,20,A
USGS,7121500,1/8/2000,20,A
USGS,7121500,1/9/2000,19,A
USGS,7121500,1/10/2000,19,A
USGS,7121500,1/11/2000,19,A
USGS,7121500,1/12/2000,19,A
USGS,7121500,1/13/2000,19,A
USGS,7121500,1/14/2000,18,A
USGS,7121500,1/15/2000,20,A
USGS,7121500,1/16/2000,19,A
USGS,7121500,1/17/2000,19,A
USGS,7121500,1/18/2000,19,A
USGS,7121500,1/19/2000,19,A
USGS,7121500,1/20/2000,19,A
USGS,7121500,1/21/2000,19,A
USGS,7121500,1/22/2000,19,A
USGS,7121500,1/23/2000,18,A
USGS,7121500,1/24/2000,18,A
USGS,7121500,1/25/2000,18,A
USGS,7121500,1/26/2000,18,A
USGS,7121500,1/27/2000,18,A
USGS,7121500,1/28/2000,17,A
USGS,7121500,1/29/2000,17,A
USGS,7121500,1/30/2000,17,A
USGS,7121500,1/31/2000,17,A
USGS,7121500,2/1/2000,17,A
USGS,7121500,2/2/2000,17,A
USGS,7121500,2/3/2000,17,A
USGS,7121500,2/4/2000,17,A
USGS,7121500,2/5/2000,17,A
USGS,7121500,2/6/2000,17,A
USGS,7121500,2/7/2000,17,A
USGS,7121500,2/8/2000,17,A
USGS,7121500,2/9/2000,17,A
USGS,7121500,2/10/2000,17,A
USGS,7121500,2/11/2000,18,A
USGS,7121500,2/12/2000,17,A
USGS,7121500,2/13/2000,17,A
USGS,7121500,2/14/2000,17,A
USGS,7121500,2/15/2000,17,A
USGS,7121500,2/16/2000,17,A
USGS,7121500,2/17/2000,17,A
USGS,7121500,2/18/2000,17,A
USGS,7121500,2/19/2000,17,A
USGS,7121500,2/20/2000,17,A
USGS,7121500,2/21/2000,17,A
USGS,7121500,2/22/2000,17,A
USGS,7121500,2/23/2000,17,A
USGS,7121500,2/24/2000,17,A
USGS,7121500,2/25/2000,16,A
USGS,7121500,2/26/2000,15,A
USGS,7121500,2/27/2000,15,A
USGS,7121500,2/28/2000,15,A
USGS,7121500,2/29/2000,56,A
USGS,7121500,3/1/2000,101,A
USGS,7121500,3/2/2000,106,A
USGS,7121500,3/3/2000,119,A
USGS,7121500,3/4/2000,97,A
USGS,7121500,3/5/2000,94,A
USGS,7121500,3/6/2000,80,A
USGS,7121500,3/7/2000,64,A
USGS,7121500,3/8/2000,57,A
USGS,7121500,3/9/2000,37,A
USGS,7121500,3/10/2000,68,A
USGS,7121500,3/11/2000,33,A
USGS,7121500,3/12/2000,31,A
USGS,7121500,3/13/2000,27,A
USGS,7121500,3/14/2000,26,A
USGS,7121500,3/15/2000,31,A
USGS,7121500,3/16/2000,42,A
USGS,7121500,3/17/2000,38,A
USGS,7121500,3/18/2000,30,A
USGS,7121500,3/19/2000,38,A
USGS,7121500,3/20/2000,42,A
USGS,7121500,3/21/2000,39,A
USGS,7121500,3/22/2000,45,A
USGS,7121500,3/23/2000,50,A
USGS,7121500,3/24/2000,26,A
USGS,7121500,3/25/2000,37,A
USGS,7121500,3/26/2000,42,A
USGS,7121500,3/27/2000,37,A
USGS,7121500,3/28/2000,38,A
USGS,7121500,3/29/2000,46,A
USGS,7121500,3/30/2000,58,A
USGS,7121500,3/31/2000,214,A
USGS,7121500,4/1/2000,264,A
USGS,7121500,4/2/2000,181,A
USGS,7121500,4/3/2000,143,A
USGS,7121500,4/4/2000,57,A
USGS,7121500,4/5/2000,53,A
USGS,7121500,4/6/2000,56,A
USGS,7121500,4/7/2000,56,A
USGS,7121500,4/8/2000,71,A
USGS,7121500,4/9/2000,76,A
USGS,7121500,4/10/2000,70,A
USGS,7121500,4/11/2000,76,A
USGS,7121500,4/12/2000,89,A
USGS,7121500,4/13/2000,104,A
USGS,7121500,4/14/2000,98,A
USGS,7121500,4/15/2000,114,A
USGS,7121500,4/16/2000,116,A
USGS,7121500,4/17/2000,98,A
USGS,7121500,4/18/2000,84,A
USGS,7121500,4/19/2000,89,A
USGS,7121500,4/20/2000,108,A
USGS,7121500,4/21/2000,93,A
USGS,7121500,4/22/2000,80,A
USGS,7121500,4/23/2000,78,A
USGS,7121500,4/24/2000,84,A
USGS,7121500,4/25/2000,81,A
USGS,7121500,4/26/2000,64,A
USGS,7121500,4/27/2000,50,A
USGS,7121500,4/28/2000,44,A
USGS,7121500,4/29/2000,43,A
USGS,7121500,4/30/2000,96,A
USGS,7121500,5/1/2000,152,A
USGS,7121500,5/2/2000,129,A
USGS,7121500,5/3/2000,116,A
USGS,7121500,5/4/2000,94,A
USGS,7121500,5/5/2000,76,A
USGS,7121500,5/6/2000,57,A
USGS,7121500,5/7/2000,66,A
USGS,7121500,5/8/2000,66,A
USGS,7121500,5/9/2000,98,A
USGS,7121500,5/10/2000,107,A
USGS,7121500,5/11/2000,102,A
USGS,7121500,5/12/2000,84,A
USGS,7121500,5/13/2000,82,A
USGS,7121500,5/14/2000,77,A
USGS,7121500,5/15/2000,81,A
USGS,7121500,5/16/2000,84,A
USGS,7121500,5/17/2000,91,A
USGS,7121500,5/18/2000,97,A
USGS,7121500,5/19/2000,97,A
USGS,7121500,5/20/2000,71,A
