Date/Time	DISCHRG (cfs)	GAGE_HT (ft)
9/7/1999 0:00	302	2.36
9/8/1999 0:00	273	2.22
9/9/1999 0:00	277	2.24
9/10/1999 0:00	258	2.14
9/11/1999 0:00	225	1.97
9/12/1999 0:00	226	1.97
9/13/1999 0:00	228	1.98
9/14/1999 0:00	227	1.98
9/15/1999 0:00	207	1.86
9/16/1999 0:00	168	1.64
9/17/1999 0:00	166	1.63
9/18/1999 0:00	174	1.68
9/19/1999 0:00	173	1.67
9/20/1999 0:00	174	1.67
9/21/1999 0:00	172	1.66
9/22/1999 0:00	171	1.66
9/23/1999 0:00	173	1.67
9/24/1999 0:00	173	1.67
9/25/1999 0:00	173	1.67
9/26/1999 0:00	173	1.67
9/27/1999 0:00	173	1.67
9/28/1999 0:00	175	1.68
9/29/1999 0:00	175	1.68
9/30/1999 0:00	174	1.67
10/1/1999 0:00	154	1.55
10/2/1999 0:00	126	1.36
10/3/1999 0:00	125	1.36
10/4/1999 0:00	122	1.34
10/5/1999 0:00	95.9	1.14
10/6/1999 0:00	69.5	0.94
10/7/1999 0:00	69	0.94
10/8/1999 0:00	68.9	0.94
10/9/1999 0:00	71.3	0.96
10/10/1999 0:00	72.2	0.97
10/11/1999 0:00	72	0.96
10/12/1999 0:00	71.2	0.96
10/13/1999 0:00	71.3	0.96
10/14/1999 0:00	71.6	0.96
10/15/1999 0:00	72.1	0.97
10/16/1999 0:00	73.5	0.98
10/17/1999 0:00	73.9	0.98
10/18/1999 0:00	89.5	1.1
10/19/1999 0:00	125	1.36
10/20/1999 0:00	124	1.36
10/21/1999 0:00	123	1.35
10/22/1999 0:00	141	1.47
10/23/1999 0:00	176	1.69
10/24/1999 0:00	174	1.67
10/25/1999 0:00	175	1.68
10/26/1999 0:00	175	1.68
10/27/1999 0:00	176	1.69
10/28/1999 0:00	178	1.7
10/29/1999 0:00	178	1.7
10/30/1999 0:00	177	1.69
10/31/1999 0:00	177	1.69
11/1/1999 0:00	177	1.69
11/2/1999 0:00	160	1.58
11/3/1999 0:00	135	1.43
11/4/1999 0:00	124	1.35
11/5/1999 0:00	125	1.36
11/6/1999 0:00	125	1.36
11/7/1999 0:00	125	1.36
11/8/1999 0:00	125	1.36
11/9/1999 0:00	138	1.44
11/10/1999 0:00	175	1.68
11/11/1999 0:00	173	1.67
11/12/1999 0:00	174	1.67
11/13/1999 0:00	175	1.68
11/14/1999 0:00	175	1.68
11/15/1999 0:00	174	1.68
11/16/1999 0:00	173	1.67
