"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.4832,0.5489,0.7932,1.483,1.571,0.2196,1.954,6.717
"Stoch",0.4836,0.5482,0.7869,1.469,1.505,0.2093,1.97,7.012
