"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.01689,0.03696,0.2297,1.132,1.257,0.2653,2.697,9.218
"Stoch",0.1684,0.1699,0.3503,1.158,1.257,0.3148,1.883,4.828
