"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.005519,-0.003672,-2.995e-05,0.003608,0.006529,0.001844,0.09709,3.051
"PctDiff",-0.2925,-0.07863,-0.000425,0.08203,0.3627,0.03813,0.2637,21.07
