"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-1.70776076384188,-0.53515227971148,0.255031767986999,0.766100785924635,-6.49351763300761,65.6452212370454
"Mean",-0.886049023276527,-0.0351806176668715,0.771700681826311,0.627523402963853,-2.02350170113274,41.1404127282127
"P.975",-0.323018751740335,0.452901772912474,1.61741600780565,0.656180958347689,4.2173872759813,40.2411754119858
"SD",0.145847584021461,0.245502423339891,0.478198597813326,0.134348848603831,6.0498894360068,48.3581422325462
"Skew",-0.839629909661804,-0.0598636859348551,0.837474659244517,0.374162671836651,0.121718129514392,3.93878635521098
"Kurt",3.66777174262269,4.44057581002624,5.578134400553,0.470078426833988,0.79863171920279,4.3221399182621
