"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0.0988889384390708,0.62352089803495,3.73002216456132,0.944149526885044,2.73178036211608,9.15239960487587
"Mean",0.19816841478232,1.19062514996083,7.33987425038269,1.90292567497499,2.70420845856258,8.82954193231887
"P.975",0.295744847446523,2.03899977307157,14.3116124424794,3.73682040246226,2.82084213855714,9.37129828601853
"SD",0.046125731863344,0.368778335356904,2.85199408894592,0.751937742743737,2.86736286037199,9.55133367441537
"Skew",-0.0162130276693098,0.23729891459383,1.30657971601759,0.321155685638353,2.67230501882968,9.37305176327753
"Kurt",3.48123416917606,3.98297160570711,5.68122699370469,0.536649503037143,3.77227937527661,24.6683309763306
