"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",-3.922,0,0.9934,2.142,3.568,0.8278,-0.1204,2.672
"Stoch",0,0,0.9961,2.143,3.574,0.8182,0.01298,1.91
