"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.002215,-0.0004557,3.817e-06,0.0005501,0.001999,0.0002363,0.1829,27.03
"PctDiff",-0.1786,-0.102,0.0005034,0.1087,0.1724,0.05458,-0.01646,2.993
