"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.9267,1.593,13.6,25.42,26.02,7.827,0.01436,1.625
"Stoch",0.9255,1.594,13.6,25.42,26.02,7.827,0.01437,1.625
