"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.005893,-0.002001,0.002666,0.002145,3.922,0.1026,38.18,1459
"PctDiff",-100,-0.139,-0.08487,0.1515,0.2682,2.879,-34.66,1203
