"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.04203,-0.004518,-1.067e-05,0.003697,0.02851,0.002829,-1.081,62.75
"PctDiff",-0.2209,-0.1003,0.0002639,0.1099,0.1787,0.05443,0.04073,3.078
