"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.03891,-0.01294,0.009684,0.01666,-4.06,40.03
"Mean",-0.02281,-0.0003389,0.02354,0.0152,-0.5997,28.22
"P.975",-0.008533,0.01216,0.04174,0.01618,2.867,26.79
"SD",0.004722,0.006322,0.01245,0.002433,5.683,44.38
"Skew",-0.4498,-0.01691,0.4564,0.1998,0.1355,4.035
"Kurt",3.262,3.515,3.824,0.1444,0.5432,3.966
