"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.0008627,-0.0004711,0.00284,0.01426,0.01614,0.004265,1.444,3.909
"PctDiff",-0.3625,-0.1634,1.712,9.166,10.58,2.67,1.58,4.406
