"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0,0.200476293998021,1.73259777057347,0.561518851222975,5.31920474570036,38.6934680079613
"Mean",0,0.286888707476063,2.46321670820625,0.739507626038166,4.83806072730242,33.2777959754634
"P.975",0,0.379662132865615,3.32150622098562,0.933509174503136,4.54513448618577,30.0494381198352
"SD",0,0.045451268571724,0.362265003410453,0.099444847057465,3.57686173484214,19.2798379073349
"Skew",-0.0425948133413014,0.183647455799085,1.50377354974204,0.346825368305788,3.20156238848883,12.4288131952994
"Kurt",3.0822776304572,3.83493654544697,6.26274229339113,0.728532079760917,3.25826500945555,17.5154421146174
