"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.01018,-0.005779,0.003954,0.1039,0.1671,0.0223,5.688,35.99
"PctDiff",-0.783,-0.1579,Inf,103.9,Inf,NA,NA,NA
