"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",1.11259456926947,2.67869700117825,7.27862453617526,1.45438943330819,1.99209714943027,6.97193185709464
"Mean",2.04641280718592,5.11550802471025,16.701935700257,3.42475361946676,2.41293175177644,8.40097526166186
"P.975",3.00605028116543,7.66065058997978,26.9858133287498,5.61360942757187,2.53395620382908,8.82651035122886
"SD",0.472269427355027,1.23276870646498,4.85134030242186,1.04279190912597,2.66746932568121,9.27122011453788
"Skew",-0.00142868315614296,0.139570245361574,0.350637071633722,0.0865185157390012,0.718780261296081,3.49530299789787
"Kurt",3.50219804250685,3.87971152222534,4.35704621367143,0.208728960226348,0.70989132320989,5.18753214632598
