"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",1.65,1.98,3.799,4.39,4.73,0.6545,-1.746,5.16
"Stoch",1.649,1.98,3.799,4.391,4.732,0.6545,-1.746,5.161
