"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",3.46,4.45,11.85,17.75,19.7,3.747,-0.05494,2.663
"Fitted",3.291,5.296,11.85,16.82,18.81,3.197,-0.5351,3.575
"Resid",-5.381,-3.832,-6.722e-18,3.769,4.499,1.955,-0.1667,4.042
