"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",5.1,5.47,13.91,20.74,23,4.243,-0.5609,2.857
"Fitted",7.199,7.415,13.91,16.31,16.41,2.476,-1.293,3.809
"Resid",-11.22,-5.656,1.73e-16,6.196,7.461,3.447,-0.4861,4.499
