"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.07646,0.1416,0.3618,0.7362,3.256,0.1819,4.173,52.08
"Stoch",0.07642,0.1415,0.3618,0.7364,3.255,0.1819,4.17,52.01
