"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.06335,0.03168,0.08748,0.03746,-1.83,11.09
"Mean",-0.02688,0.04795,0.1052,0.03251,-0.9954,9.392
"P.975",0.01289,0.06442,0.1253,0.03021,0.1249,8.318
"SD",0.005075,0.008298,0.01972,0.005348,3.035,15.65
"Skew",-0.2968,0.03219,0.4246,0.1476,0.2717,5.477
"Kurt",2.978,3.34,3.674,0.1738,-0.07038,3.69
