"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0.144358590430256,0.255615403807575,0.376336178473869,0.365319924847927,36.1733919141325,1354.95736669748
"Mean",0.302551441409037,0.544543600937855,0.881992969343804,0.542923332903228,33.1761703053264,1205.1148196632
"P.975",0.434880522230142,0.865282902667553,1.47817622912952,0.746544684731157,29.9727840603316,1049.90364074123
"SD",0.0657913142747211,0.157291800815892,0.288948425983346,0.104665059807134,20.343702215501,617.210860373544
"Skew",0.00594709772535306,0.177305859295351,0.849821953709826,0.190058655029057,2.59671772761849,10.6101598452584
"Kurt",2.70208062260474,2.93048343777872,3.46553314331523,0.194162810338272,3.50987480161994,21.0558508066473
