"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.3698,-0.1188,-0.05653,0.07546,-2.406,8.22
"Mean",-0.1843,-0.07125,-0.03032,0.0373,-1.497,8.009
"P.975",-0.05644,-0.02425,0.03523,0.02611,3.709,31.73
"SD",0.01082,0.02363,0.09414,0.02105,2.591,8.467
"Skew",-0.2465,-0.08998,0.04584,0.1047,4.3,40.38
"Kurt",3.365,3.732,4.23,0.2263,1.002,6.662
