"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.04498,-0.0132,0.01026,0.02015,-3.486,41.36
"Mean",-0.02528,0.0001216,0.02867,0.01987,2.092,41.1
"P.975",-0.009411,0.01339,0.05262,0.02343,6.07,60.62
"SD",0.004586,0.006703,0.01342,0.003839,5.972,48.31
"Skew",-0.4663,-0.01416,0.5013,0.2052,0.2105,4.544
"Kurt",3.283,3.535,3.888,0.1532,0.7549,4.472
