"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-1319,-84.72,8.441,311.2,-3.849,17.33
"Mean",-80.73,26.12,134.4,210.8,17.24,352.1
"P.975",12.96,123.4,1340,327.9,3.696,16.68
"SD",2.767,2961,15840,34670,20.39,446.7
"Skew",-56.47,-0.4239,47.76,17.8,-0.3492,10.82
"Kurt",3.539,415.6,4460,1105,2.866,10.31
