"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",1.05,1.19,1.924,2.39,2.42,0.3448,-0.406,2.01
"Stoch",1.051,1.191,1.923,2.39,2.423,0.3448,-0.4059,2.009
