"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",8.98,13.23,24.5,41.84,43.2,8.276,0.7234,2.87
"Fitted",14.11,14.84,24.5,36.85,37.06,6.313,0.3376,2.154
"Resid",-12.95,-8.698,-2.049e-17,8.753,10.05,5.351,-0.03019,2.345
