"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0,0.18243636363709,0.605735718855678,0.222682727735928,0.565115534508883,1.65335863886208
"Mean",0,0.361400547041329,1.15432760707807,0.437748047822586,0.505704435051368,1.47869065014826
"P.975",0,0.550159592636846,1.7116892217276,0.666854759225622,0.503632422618375,1.45786991800119
"SD",0,0.0910488054124689,0.278806199942303,0.111112281399141,0.534941193855988,1.50926910744599
"Skew",0.0603368027467424,0.207098744240381,0.39133744053148,0.0903673377578891,0.365510806658518,2.53380147755797
"Kurt",3.44922512736395,3.8138858414694,4.28101655446076,0.213419781934441,0.837353315542641,4.86946623270105
