"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",4.22,4.56,10.33,17.5,18.2,3.68,0.1683,2.28
"Fitted",3.421,3.876,10.33,13.46,13.76,2.807,-0.9635,3.206
"Resid",-4.662,-4.613,1.652e-17,4.371,5.791,2.381,0.04321,2.853
