"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.001969,-0.0008106,7.5e-06,0.0008835,0.001909,0.0003558,0.111,9.339
"PctDiff",-0.2173,-0.1368,0.002377,0.1407,0.1983,0.06944,-0.03939,2.982
