"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.01209,-0.0006956,-0.0001099,0.0005644,0.0008737,0.0009392,-8.436,86.64
"PctDiff",-0.797,-0.09321,-0.007454,0.08132,0.1385,0.07114,-5.525,50.46
