"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,0.0009441,0.009805,0.05652,0.003315,7.537,88.8
"Stoch",0,0,0.0009441,0.009805,0.05651,0.003315,7.537,88.8
