"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.004569,-0.002879,-2.221e-05,0.002873,0.004825,0.001434,0.01572,3.307
"PctDiff",-0.2405,-0.1481,-0.00128,0.145,0.2213,0.07316,-0.009636,2.923
