"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.9911,1.614,4.286,17.53,20.78,3.748,2.748,9.7
"Stoch",0.9915,1.614,4.286,17.52,20.79,3.748,2.748,9.7
