"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",0.0004584,0.0004624,0.00047,0.0004773,0.0004936,3.803e-06,0.3221,5.117
"PctDiff",2.478,3.475,Inf,76.2,Inf,NA,NA,NA
