"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-1.26517862749429,-0.616895924634936,0.0424673365162689,0.401039055142171,-3.16211862968537,49.9608109148193
"Mean",-0.519690405401249,-0.00726969425982258,0.611425910616428,0.387466544879087,2.35523708732192,49.4078968238565
"P.975",-0.00643692356592398,0.596286853938466,1.35420182156903,0.465794002477314,6.15140993028835,71.3520018688188
"SD",0.2396231052028,0.302546390478361,0.374153685153711,0.0681361091447762,6.60843180480344,69.0263706031958
"Skew",-0.53535020379137,-0.0228754875947076,0.517019525336885,0.220993819531526,0.0554913181740051,4.49441632222028
"Kurt",3.51380804172601,3.80402979840287,4.20356837617426,0.175884827804138,0.584458432911302,3.73857890075533
