"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0.1,12.85,25.3,26.55,8.042,0.03098,1.636
"Stoch",0.1605,0.2074,12.85,25.3,26.56,8.036,0.03331,1.633
