"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,0.1982,1.388,1.869,0.3723,2.456,8.621
"Stoch",0,0,0.1982,1.387,1.869,0.3724,2.456,8.62
