"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0.0006096,0.005877,0.01351,0.0189,0.003601,0.5036,2.556
"Stoch",0.0004886,0.001084,0.006347,0.01398,0.01937,0.003601,0.5038,2.556
