"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.1137,-0.05361,-0.01297,0.03356,1.254,23.25
"Mean",-0.1052,-0.0469,0.01759,0.03512,2.053,24.4
"P.975",-0.09785,-0.0402,0.04755,0.03794,2.64,23.62
"SD",0.00151,0.003425,0.01596,0.003572,2.925,10.17
"Skew",-0.06771,-0.001408,0.06447,0.03429,-0.008974,2.909
"Kurt",2.873,2.996,3.139,0.06801,0.2869,2.887
