"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,0.3186,0.9911,1.019,0.3874,0.5484,1.556
"Stoch",0,0,0.3185,0.9909,1.02,0.3874,0.5484,1.556
