"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.1756,0.2209,2.104,19.37,27.55,4.909,3.135,11.21
"Stoch",0.1756,0.2208,2.104,19.37,27.55,4.909,3.135,11.21
