"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.001889,-0.0005839,6.629e-06,0.0005843,0.002158,0.0002865,0.1254,7.905
"PctDiff",-0.2342,-0.1323,0.001814,0.1494,0.2309,0.07128,0.05003,3.018
