"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.02247,-0.006322,-7.102e-05,0.005041,0.01767,0.002877,-0.848,13.89
"PctDiff",-0.1661,-0.108,0.000609,0.1103,0.1739,0.05544,0.02567,3.014
