"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.007372,-0.002619,-0.0001107,0.001949,-0.9742,3.812
"Mean",-0.005203,-0.001775,2.495e-05,0.001421,-0.6919,5.384
"P.975",-0.003203,-0.001053,0.0001757,0.0009789,1.407,27.04
"SD",8.262e-05,0.0003976,0.001074,0.00027,1.117,3.886
"Skew",-0.6062,-0.3802,0.1222,0.1783,3.041,16.42
"Kurt",3.244,3.448,3.797,0.1385,1.103,5.338
