"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-1.162e-06,-1.073e-07,1.024e-09,1.331e-07,2.326e-06,1.124e-07,5.161,162.2
"PctDiff",-0.009584,-0.006421,4.879e-05,0.007028,0.01095,0.003532,0.1374,2.836
