"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.006562,-0.002917,-3.598e-06,0.002755,0.004464,0.001424,-0.05954,3.301
"PctDiff",-0.1566,-0.07191,9.579e-05,0.07337,0.1128,0.03697,-0.03007,3.01
