"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,1.962,9.838,18.38,3.014,2.109,9.293
"Stoch",0,0,1.962,9.835,18.37,3.014,2.109,9.296
