"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",9.65,9.976,14.86,19.26,19.5,4.143,-0.2142,1.819
"Fitted",9.437,9.799,14.86,18.15,18.19,4.004,-0.621,1.801
"Resid",-1.249,-1.176,1.388e-17,1.225,1.307,1.062,0.08729,1.868
