"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.04957,-0.01075,-1.151e-05,0.01084,0.03515,0.005391,-0.3071,14.62
"PctDiff",-0.1854,-0.1018,0.0006563,0.1109,0.1743,0.05525,0.07035,2.888
