"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",7.96,8.206,13.16,21.1,21.4,4.442,0.7682,2.275
"Fitted",7.245,7.62,13.16,21.09,21.41,4.127,0.5751,2.458
"Resid",-3.414,-2.659,-1.231e-17,3.328,3.536,1.643,0.3294,3.386
