"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.1718,-0.0343,0.05944,0.05149,-1.108,6.306
"Mean",-0.1105,-0.0002833,0.1313,0.05185,0.5233,6.021
"P.975",-0.05078,0.03315,0.2071,0.05741,1.84,7.884
"SD",0.009966,0.01732,0.04272,0.008193,2.276,8.6
"Skew",-0.4555,-0.03483,0.4391,0.2552,0.128,2.107
"Kurt",2.493,3.216,3.79,0.3458,-0.3973,2.486
