"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,0.000832,0.007963,0.04606,0.00317,7.534,77.46
"Stoch",0,0,0.000832,0.007963,0.04606,0.00317,7.534,77.46
