"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.04467,-0.0149,0.000487,0.01773,0.05617,0.007629,0.4064,12.28
"PctDiff",-0.1283,-0.07052,0.002022,0.07302,0.1228,0.03681,-0.03718,2.781
