"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.0333,0.05421,0.08081,0.1245,0.1582,0.02108,0.6437,2.602
"Stoch",0.03327,0.0542,0.08081,0.1246,0.1581,0.02108,0.6437,2.602
