"","d025","dmn","d975","s025","smn","s975","DiffofMean"
"$Delta M_A$&",-1.437,-0.009401,1.659,-1.067,-0.00546,1.159,-41.9
"$Delta M_B$&",-0.3445,-3.082e-05,0.4233,-0.2905,0.002306,0.3407,-7580
"$Delta M_C$&",-2.698,0.02612,3.095,-2.704,0.01525,2.919,-41.6
"$Delta M_D$&",-7.001,-0.08734,8.816,-5.401,-0.05212,5.887,-40.3
"$Delta M_E$&",-1.965,-0.04394,1.828,-1.755,-0.02547,1.754,-42
